,County,Water_Body_Name,Landmark,Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level.1,AdvisoryLevelDescription,Contact_Organization,County.1,Landmark.1,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name.1,DetailStaticText,Bloom_Longitude_Corrected,Bloom_Latitude_x,Bloom_Latitude_y,Bloom_Longitude
371,San Diego,Harveston Lake,"lake in community of Temecula, CA",Last verified >90 days ago,4/5/2024,Rec general awareness,Water Boards recommends posting “general awareness sign” for HABs at this site and nearby access points.,3/29/2024 10:28,4442,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,San Diego,"lake in community of Temecula, CA",3/27/2024 0:00,,Region 9 - San Diego,,Harveston Lake,Detail,-117.2,33.5,,
372,San Diego,Heritage Park,Pond at Heritage Park,Last verified >90 days ago,7/12/2024,Advisory based on visual and toxins; Floating/planktonic bloom observed,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.",7/12/2024 10:43,4595,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,San Diego Water Board,San Diego,Pond at Heritage Park,7/2/2024 0:00,City Department,Region 9 - San Diego,City Department,Heritage Park,Detail,-117,32.6,,
373,San Diego,Hollister Pond,Hollister Pond by Otay Valley Trail,Last verified >30 days ago,9/9/2024,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,8/28/2024 18:24,4689,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,San Diego Water Board,San Diego,Hollister Pond by Otay Valley Trail,8/28/2024 0:00,,Region 9 - San Diego,,Hollister Pond,Detail,-117.1,32.6,,
374,San Diego,Kitchen Creek,Kitchen Creek above Kitchen Creek Road crossing,Last verified >90 days ago,6/11/2024,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,6/11/2024 15:13,4522,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,San Diego,Kitchen Creek above Kitchen Creek Road crossing,6/5/2024 0:00,,Region 9 - San Diego,,Kitchen Creek,Detail,-116.5,32.8,,
375,San Diego,Lake Henshaw,end of fishing dock,Caution,11/8/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/18/2023 17:07,3995,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",San Diego Water Board,San Diego,end of fishing dock,12/30/2022 0:00,Vista Irrigation District,Region 9 - San Diego,Vista Irrigation District,Lake Henshaw,Detail,-116.8,33.2,,
376,San Diego,,Open water near buoy line and at shoreline,Caution,11/8/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/18/2023 17:04,3994,Caution,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",San Diego Water Board,San Diego,Open water near buoy line and at shoreline,12/30/2022 0:00,Valley Water,Region 9 - San Diego,Vista Irrigation District,Lake Henshaw,Detail,-116.8,33.2,,
377,San Diego,Libby Lake,Libby Lake Park,Last verified >30 days ago,8/28/2024,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,7/15/2024 10:17,4600,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,San Diego Water Board,San Diego,Libby Lake Park,7/8/2024 0:00,City Department,Region 9 - San Diego,City Department,Libby Lake,Detail,-117.3,33.3,,
378,San Diego,Lindo Lake,Lindo Lake County Park (East and West Basins),Last verified >30 days ago,8/28/2024,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,3/1/2024 18:20,4435,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,San Diego,Lindo Lake County Park (East and West Basins),2/29/2024 0:00,Local Park and Recreation Department,Region 9 - San Diego,,Lindo Lake,Detail,-116.9,32.9,,
379,San Diego,,Park Lakeside Public Library,Last verified >90 days ago,1/5/2024,Lake-wide advisory; Visual monitoring only-present bloom,Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.,7/9/2023 10:28,4248,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,PMN Volunteer,San Diego,Park Lakeside Public Library,7/7/2023 0:00,,Region 9 - San Diego,,Lindo Lake,Detail,-116.9,32.9,,
380,San Diego,Los Jilgueros Preserve Ponds,Spillway below Pond 38e,Last verified >90 days ago,4/2/2024,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,4/12/2024 14:42,4446,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,San Diego Water Board,San Diego,Spillway below Pond 38e,4/2/2024 0:00,Other,Region 9 - San Diego,,Los Jilgueros Preserve Ponds,Detail,-117.2,33.4,,
381,San Diego,Morena Reservoir,Lake Morena County Park,Last verified >90 days ago,7/30/2024,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,8/25/2023 14:03,4344,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,San Diego Water Board,San Diego,Lake Morena County Park,8/25/2023 0:00,Local Park and Recreation Department,Region 9 - San Diego,City Department,Morena Reservoir,Detail,-116.5,32.7,,
382,San Diego,Pacific Ocean,Crystal Pier,Last verified >90 days ago,6/7/2024,Marine bloom suspected (red tide); Under investigation,"Marine bloom or “red tide” are suspected in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. Until water monitoring results are provided to confirm presence of red tide in this area, we recommend people and pets avoid contact with the water during times of any water discoloration or dense blooms in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system.   This report is under investigation.",6/7/2024 5:54,4514,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,San Diego,Crystal Pier,6/3/2024 0:00,,Region 9 - San Diego,,Pacific Ocean,Detail,-117.3,32.8,,
383,San Diego,,South side of Coronado Beach,Refer to report details,10/25/2024,Marine bloom suspected (red tide); Suspected illness reported,"Marine bloom or “red tide” are suspected in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. Until water monitoring results are provided to confirm presence of red tide in this area, we recommend people and pets avoid contact with the water during times of any water discoloration or dense blooms in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system.   Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.",10/25/2024 9:39,4737,Refer to report details,"No bloom advisory. Refer to ""Report Details"" for additional info.",,San Diego,South side of Coronado Beach,10/24/2024 0:00,,Region 9 - San Diego,,pacific ocean,Detail,-117.2,32.7,,
384,San Diego,San Diego River,Cuyamaca Street,Last verified >30 days ago,10/3/2024,Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.",9/30/2024 9:31,4717,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,The San Diego River Park Foudnation,San Diego,Cuyamaca Street,9/28/2024 0:00,,Region 9 - San Diego,,San Diego River,Detail,-117,32.8,,
385,San Diego,,Mission Basilica San Diego De Alcala,None,10/21/2024,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,9/12/2024 16:23,4707,None,No bloom advisory. Cyanotoxin concentrations or visual indicators do not exceed  advisory trigger levels.,The San Diego River Park Foudnation,San Diego,Mission Basilica San Diego De Alcala,9/12/2024 0:00,,Region 9 - San Diego,,San Diego River,Detail,-117.1,32.8,,
386,San Diego,San Luis Rey River estuary,San Luis Rey River estuary at the mouth,Last verified >30 days ago,8/22/2024,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,8/25/2022 10:06,3660,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,San Diego Water Board,San Diego,San Luis Rey River estuary at the mouth,8/24/2022 0:00,City Department,Region 9 - San Diego,City Department,San Luis Rey River estuary,Detail,-117.4,33.2,,
387,San Diego,Santee Lakes,Santee Lake #7 near campground,Last verified >30 days ago,8/30/2024,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,7/15/2024 10:27,4601,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,San Diego Water Board,San Diego,Santee Lake #7 near campground,7/8/2024 0:00,Local Municipal Water District,Region 9 - San Diego,Local Municipal Water District,Santee Lakes,Detail,-117,32.9,,
388,San Diego,Sweetwater River, at Morrison Pond just upstream of Sweetwater Road,Last verified >30 days ago,9/9/2024,*,*,8/29/2022 9:29,3665,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,San Diego Water Board,San Diego, at Morrison Pond just upstream of Sweetwater Road,8/17/2022 0:00,City Department,Region 9 - San Diego,City Department,Sweetwater River,Detail,-117,32.7,,
389,San Francisco,Chrissy Field Marsh,Chrissy Field Marsh by SF Bay trail (203CHR100),Last verified >30 days ago,8/28/2024,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/21/2024 12:46,4484,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,San Francisco Bay RWQCB,San Francisco,Chrissy Field Marsh by SF Bay trail (203CHR100),5/14/2024 0:00,,Region 2 - San Francisco Bay,,Chrissy Field Marsh,Detail,-122.5,37.8,,
390,San Francisco,Lake Merced,"Lake Merced East (""E"")",Last verified >90 days ago,6/27/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/9/2023 13:58,3886,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,R2 Water Board,San Francisco,"Lake Merced East (""E"")",3/29/2022 0:00,San Francisco Public Utility Commission,Region 2 - San Francisco Bay,San Francisco Public Utility Commission,Lake Merced,Detail,-122.5,37.7,,
391,San Francisco,,"Lake Merced North (""SS"")",Last verified >90 days ago,6/27/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/9/2023 14:22,3889,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,R2 Water Board,San Francisco,"Lake Merced North (""SS"")",1/18/2022 0:00,San Francisco Public Utility Commission,Region 2 - San Francisco Bay,San Francisco Public Utility Commission,Lake Merced,Detail,-122.5,37.7,37.726771,-122.49897
392,San Francisco,,"Lake Merced North (""SS"")",Last verified >90 days ago,6/27/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/9/2023 14:22,3889,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,R2 Water Board,San Francisco,"Lake Merced North (""SS"")",1/18/2022 0:00,San Francisco Public Utility Commission,Region 2 - San Francisco Bay,San Francisco Public Utility Commission,Lake Merced,Detail,-122.5,37.7,37.726771,-122.49897
393,San Francisco,,"Lake Merced North (""SS"")",Last verified >90 days ago,6/27/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/9/2023 14:22,3889,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,R2 Water Board,San Francisco,"Lake Merced North (""SS"")",1/18/2022 0:00,San Francisco Public Utility Commission,Region 2 - San Francisco Bay,San Francisco Public Utility Commission,Lake Merced,Detail,-122.5,37.7,37.726771,-122.49897
394,San Francisco,,"Lake Merced North (""SS"")",Last verified >90 days ago,6/27/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/9/2023 14:22,3889,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,R2 Water Board,San Francisco,"Lake Merced North (""SS"")",1/18/2022 0:00,San Francisco Public Utility Commission,Region 2 - San Francisco Bay,San Francisco Public Utility Commission,Lake Merced,Detail,-122.5,37.7,37.726771,-122.49897
395,San Francisco,,"Lake Merced North (""SS"")",Last verified >90 days ago,6/27/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/9/2023 14:22,3889,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,R2 Water Board,San Francisco,"Lake Merced North (""SS"")",1/18/2022 0:00,San Francisco Public Utility Commission,Region 2 - San Francisco Bay,San Francisco Public Utility Commission,Lake Merced,Detail,-122.5,37.7,37.726771,-122.49897
396,San Francisco,,"Lake Merced North (""SS"")",Last verified >90 days ago,6/27/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/9/2023 14:22,3889,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,R2 Water Board,San Francisco,"Lake Merced North (""SS"")",1/18/2022 0:00,San Francisco Public Utility Commission,Region 2 - San Francisco Bay,San Francisco Public Utility Commission,Lake Merced,Detail,-122.5,37.7,37.726771,-122.49897
397,San Francisco,,"Lake Merced North (""SS"")",Last verified >90 days ago,6/27/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/9/2023 14:22,3889,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,R2 Water Board,San Francisco,"Lake Merced North (""SS"")",1/18/2022 0:00,San Francisco Public Utility Commission,Region 2 - San Francisco Bay,San Francisco Public Utility Commission,Lake Merced,Detail,-122.5,37.7,37.726771,-122.49897
398,San Francisco,,"Lake Merced South (""CB"")",Last verified >90 days ago,6/27/2024,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/9/2023 14:27,3893,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,R2 Water Board,San Francisco,"Lake Merced South (""CB"")",1/18/2022 0:00,San Francisco Public Utility Commission,Region 2 - San Francisco Bay,San Francisco Public Utility Commission; South Tahoe Public Utility District,Lake Merced,Detail,-122.5,37.7,,
399,San Joaquin,Brookside Lake,near Pine Lake Circle,Last verified >30 days ago,9/13/2024,Suspected illness reported; Visual monitoring only-present bloom,"Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.",9/13/2024 11:25,4712,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,,San Joaquin,near Pine Lake Circle,9/12/2024 0:00,,Region 5 - Central Valley,Community HOA,Brookside Lake,Detail,-121.4,38,,
400,San Joaquin,Buckley Cove,near Buckley Cove Boat Launch (BC),Last verified >30 days ago,9/25/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/11/2022 8:49,3261,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Restore the Delta,San Joaquin,near Buckley Cove Boat Launch (BC),5/2/2022 0:00,,Region 5 - Central Valley,,Buckley Cove,Detail,-121.4,38,37.976819,-121.37531
401,San Joaquin,Grant Line Canal,East of Temporary Barrier (GLE),Last verified >30 days ago,10/11/2024,*,*,1/17/2023 16:54,3977,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),San Joaquin,East of Temporary Barrier (GLE),1/5/2023 0:00,,Region 5 - Central Valley,California Department of Water Resources,Grant Line Canal,Detail,-121.4,37.8,,
402,San Joaquin,,near Old River (GLC),Visual observation of a bloom,10/18/2024,Updates from routine monitoring program-organization; Visual monitoring only-present bloom,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.",1/11/2023 16:14,3958,Visual observation of a bloom,"Stay away from algae and scum in the water. Do NOT let pets go in the water, drink the water, or eat scum on the shore. Keep Children away from algae. Do not eat shellfish from this waterbody.",Dept of Water Resources,San Joaquin,near Old River (GLC),1/1/2023 0:00,,Region 5 - Central Valley,California Department of Water Resources,Grant Line Canal,Detail,-121.5,37.8,,
403,San Joaquin,McLeod Lake,by Joan Darrah Promenade (ML),Last verified >30 days ago,9/25/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/11/2022 10:07,3267,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Restore the Delta,San Joaquin,by Joan Darrah Promenade (ML),5/2/2022 0:00,,Region 5 - Central Valley,,McLeod Lake,Detail,-121.3,38,37.953618,-121.29309
404,San Joaquin,,Morelli Park (MP),Last verified >30 days ago,9/25/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/11/2022 10:02,3266,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Restore the Delta,San Joaquin,Morelli Park (MP),5/2/2022 0:00,,Region 5 - Central Valley,,McLeod Lake,Detail,-121.3,38,37.95301,-121.30646
405,San Joaquin,Middle River,Middle River at Howard Rd (MHO),Last verified >30 days ago,10/11/2024,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/18/2023 14:40,3984,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),San Joaquin,Middle River at Howard Rd (MHO),1/5/2023 0:00,,Region 5 - Central Valley,,Middle River,Detail,-121.4,37.9,,
406,San Joaquin,,Middle River at Tracy (MRX),Last verified >30 days ago,10/11/2024,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/18/2023 14:42,3987,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),San Joaquin,Middle River at Tracy (MRX),1/5/2023 0:00,,Region 5 - Central Valley,,Middle River,Detail,-121.5,37.9,,
407,San Joaquin,,Middle River at Undine (MRU),Last verified >30 days ago,10/11/2024,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/18/2023 14:41,3985,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),San Joaquin,Middle River at Undine (MRU),1/5/2023 0:00,,Region 5 - Central Valley,,Middle River,Detail,-121.4,37.8,,
408,San Joaquin,Mormon Slough,near W. Weber Ave. (MS),Last verified >30 days ago,9/25/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/11/2022 9:56,3265,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Restore the Delta,San Joaquin,near W. Weber Ave. (MS),5/2/2022 0:00,,Region 5 - Central Valley,,Mormon Slough,Detail,-121.3,38,37.951842,-121.30437
409,San Joaquin,Old River,at Head of Old River (OH1),Last verified >30 days ago,10/11/2024,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/17/2023 16:45,3975,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),San Joaquin,at Head of Old River (OH1),1/12/2023 0:00,California Department of Water Resources,Region 5 - Central Valley,California Department of Water Resources,Old River,Detail,-121.3,37.8,,
410,San Joaquin,,at Mountain House (ORM),Last verified >30 days ago,10/11/2024,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/11/2023 16:05,3955,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Dept of Water Resources,San Joaquin,at Mountain House (ORM),1/1/2023 0:00,,Region 5 - Central Valley,California Department of Water Resources,Old River,Detail,-121.5,37.8,,
411,San Joaquin,,Downstream of the ORT Barrier (ODM),Last verified >30 days ago,10/11/2024,Updates from routine monitoring program-organization; Visual monitoring only-present bloom,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.",3/10/2023 12:14,4070,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Department of Water Resources,San Joaquin,Downstream of the ORT Barrier (ODM),3/7/2023 0:00,,Region 5 - Central Valley,California Department of Water Resources,Old River,Detail,-121.5,37.8,,
412,San Joaquin,,near Doughty Cut (ORX),Last verified >30 days ago,10/11/2024,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/17/2023 16:50,3976,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),San Joaquin,near Doughty Cut (ORX),1/12/2023 0:00,,Region 5 - Central Valley,California Department of Water Resources,Old River,Detail,-121.4,37.8,,
413,San Joaquin,,Old River at Tracy Wildlife Association (TWA),Last verified >30 days ago,10/11/2024,Updates from routine monitoring program-organization; Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.    Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/18/2023 15:23,3990,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Department of Water Resources (DWR),San Joaquin,Old River at Tracy Wildlife Association (TWA),1/5/2023 0:00,,Region 5 - Central Valley,,Old River,Detail,-121.5,37.8,,
414,San Joaquin,San Joaquin River,Stockton Rod and Gun Club (SJ),Last verified >30 days ago,9/25/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/11/2022 9:10,3264,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Restore the Delta,San Joaquin,Stockton Rod and Gun Club (SJ),5/4/2022 0:00,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.3,38,37.954319,-121.34413
415,San Joaquin,,Windmill Cove (WC),Last verified >30 days ago,9/25/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/11/2022 8:58,3262,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Restore the Delta,San Joaquin,Windmill Cove (WC),5/5/2022 0:00,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.4,38,37.994311,-121.41622
416,San Joaquin,Smith Canal,near American Legion Park (SC),Last verified >30 days ago,9/25/2024,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/11/2022 9:04,3263,Last verified >30 days ago,No new observations have been made of this bloom for 30 days. The bloom may still be present or may have subsided. Contact waterbody manager for current conditions.,Restore the Delta,San Joaquin,near American Legion Park (SC),5/4/2022 0:00,,Region 5 - Central Valley,,Smith Canal,Detail,-121.3,38,37.967074,-121.30687
