Advisory Level,Advisory_Date_of_Recommendation,AdvisoryDetail,Advisory_Detail_Description,Bloom_Date_Created,Bloom_Report_ID,Advisory Level,AdvisoryLevelDescription,Contact_Organization,County,Landmark,Observation_Date,Rec_Land_Manager,Regional_Water_Board,Water_Body_Manager,Water_Body_Name,DetailStaticText,Bloom_Longitude_Corrected,Bloom_Latitude
Last verified >90 days ago,9/15/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/23/2023 11:12,4115,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CA Department of Water Resources,Contra Costa,San Joaquin River @ Antioch Ship Channel,5/11/2023 0:00,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.8063,38.02161
Last verified >90 days ago,9/15/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/23/2023 11:29,4118,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CA Department of Water Resources,Contra Costa,San Joaquin River @ Twitchell Island,5/12/2023 0:00,,Region 5 - Central Valley,,San Joaquin River,Detail,-121.6691,38.0969
Last verified >90 days ago,8/1/2023,Marine bloom suspected (red tide),"Marine bloom or “red tide” are suspected in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. Until water monitoring results are provided to confirm presence of red tide in this area, we recommend people and pets avoid contact with the water during times of any water discoloration or dense blooms in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system.",8/1/2023 16:20,4310,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Baykeeper,Contra Costa,main channel,7/31/2023 0:00,,Region 2 - San Francisco Bay,,San Pablo Bay,Detail,-122.41295,37.97958
Last verified >90 days ago,11/3/2023,No cyano bloom w/testing; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.",8/31/2023 7:37,4363,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Del Norte,at Klamath Glen (Roy Rook),8/23/2023 0:00,Yurok Tribe,Region 1 - North Coast,Yurok Tribe,Klamath River,Detail,-124.00045,41.51602
Last verified >90 days ago,10/19/2023,Lake-wide advisory; Testing results below posting triggers,Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.,6/30/2023 12:26,4223,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,Boat Ramp,6/21/2023 0:00,,Region 6 - Lahontan,,Lake Baron,Detail,-120.02557,38.5876
Last verified >90 days ago,10/19/2023,Lake-wide advisory; Testing results below posting triggers; Visual monitoring only-present bloom,Advisory applies to the full extent of the lake or reservoir (lake-wide advisory) and is not to limited the location symbolized by this report.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.    Water testing of samples resulted in no exceedance of an advisory trigger threshold.,6/30/2023 12:28,4224,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,South East Corner,6/21/2023 0:00,,Region 6 - Lahontan,,Lake Baron,Detail,-120.02647,38.85286
Last verified >90 days ago,5/8/2023,Suspected illness reported,"Suspected illness was reported and is under investigation by the Interagency HAB-related Illness Workgroup, no determination has been made.",5/8/2023 11:22,4090,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Tahoe Lake Forester,El Dorado,Tahoe Paradise Park,5/8/2023 0:00,Local Park and Recreation Department,Region 6 - Lahontan,,Lake Baron,Detail,-120.02549,38.85709
Last verified >90 days ago,9/29/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/25/2023 7:39,4126,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,El Dorado Beach,5/16/2023 0:00,,Region 6 - Lahontan,City Department,Lake Tahoe,Detail,-119.97746,38.94494
Last verified >90 days ago,9/25/2023,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,9/25/2023 14:44,4389,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,El Dorado,Meeks Creek ~1.8mi below Lake Genevieve,9/13/2023 0:00,,Region 6 - Lahontan,,Meeks Creek,Detail,-120.15304,39.01937
Last verified >90 days ago,10/3/2023,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,9/16/2022 11:12,3727,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,El Dorado,Silver Fork American River at Silver Fork Rd.,9/6/2022 0:00,,Region 5 - Central Valley,,Silver Fork American River,Detail,-120.20136,38.69487
Last verified >90 days ago,7/19/2023,Under investigation,This report is under investigation.,7/19/2023 8:50,4278,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,El Dorado,Spinnaker Cove (Site 7),7/11/2023 0:00,Tahoe Keys Property Owners Association,Region 6 - Lahontan,Tahoe Keys Property Owners Association,Tahoe Keys Lagoon,Detail,-120.008,38.93697
Last verified >90 days ago,8/28/2023,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,7/7/2023 10:22,4234,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Fresno,meadow campground,7/3/2023 0:00,,Region 5 - Central Valley,,Millerton Lake,Detail,-119.662,37.0174
Last verified >90 days ago,5/31/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/31/2023 9:44,4146,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Glenn,Corbin Creek ~0.1mi above NF,5/12/2023 0:00,,Region 1 - North Coast,,Corbin Creek,Detail,-122.7312,39.5498
Last verified >90 days ago,8/16/2023,Visual monitoring only-absent bloom,"No bloom was observed at this location from the shoreline or boat. Therefore, no water testing to measure for bloom associated toxins was conducted. Check upstream lakes or channels for presence of a bloom since bloom material and toxins can be transported downstream.",8/8/2023 15:43,4321,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Humboldt,King Salmon Beach,8/8/2023 0:00,County Environmental Health Department,Region 1 - North Coast,County Environmental Health Department,Humboldt Bay,Detail,-124.21972,40.74134
Last verified >90 days ago,6/26/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/31/2022 8:13,3441,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Big Lagoon Rancheria,Humboldt,Lagoonwide,5/19/2022 0:00,Big Lagoon Rancheria,Region 1 - North Coast,California State Parks,Stone Lagoon,Detail,-124.08366,41.23327
Last verified >90 days ago,11/3/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/28/2023 7:57,4200,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RB1 FHAB,Humboldt,at Weitchpec,6/21/2023 0:00,Yurok Tribe,Region 1 - North Coast,Yurok Tribe,Trinity River,Detail,-123.70616,41.18459
Last verified >90 days ago,7/12/2023,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,5/26/2023 10:36,4140,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Kern,Bear Valley Springs,5/26/2023 0:00,,Region 5 - Central Valley,,Four Island Lake,Detail,-118.65771,35.16213
Last verified >90 days ago,8/22/2023,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,8/22/2023 14:40,4338,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Kern County Environmental Health,Kern,East,8/7/2023 0:00,,Region 5 - Central Valley,,Lake Evans,Detail,-119.2922,35.2341
Last verified >90 days ago,8/22/2023,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,8/22/2023 14:38,4337,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Kern County Environmental Health,Kern,West,8/7/2023 0:00,County Environmental Health Department,Region 5 - Central Valley,County Environmental Health Department,Lake Evans,Detail,-119.30199,35.2367
Last verified >90 days ago,6/26/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",6/26/2023 9:08,4182,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Lake,"Cache Creek, NF ~0.4mi above Spanish Cr.",6/12/2023 0:00,,Region 5 - Central Valley,,Cache Creek,Detail,-122.61998,39.16545
Last verified >90 days ago,8/15/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/15/2022 0:00,3251,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Big Valley Rancheria,Lake," Lower Arm, UCD site (LA-03)",2/21/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.717,38.983
Last verified >90 days ago,8/15/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/15/2022 0:00,3247,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Big Valley Rancheria,Lake," Narrows, UCD site (NR-02)",2/21/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.745,39.028
Last verified >90 days ago,1/12/2023,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/27/2023 16:36,4043,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Big Valley Rancheria,Lake,"Lower Arm, UCD site (LA-03)",12/19/2022 0:00,City Department,Region 5 - Central Valley,,Clear Lake,Detail,-122.717,38.983
Last verified >90 days ago,*,Advisory based on visual and toxins; Updates from routine monitoring program-organization,"Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",*,*,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Big Valley Rancheria,Lake,"Oaks Arm, UCD site (OA-04)",*,*,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.699,39.0127
Last verified >90 days ago,8/15/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/15/2022 0:00,3248,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Big Valley Rancheria,Lake,"Upper Arm, UCD site (UA-01)",2/21/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.788,39.024
Last verified >90 days ago,8/15/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/15/2022 0:00,3245,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Big Valley Rancheria,Lake,"Upper Arm, UCD site (UA-06)",2/21/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.817,39.061
Last verified >90 days ago,8/15/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",4/15/2022 0:00,3244,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Big Valley Rancheria,Lake,"Upper Arm, UCD site (UA-08)",2/21/2022 0:00,Unknown,Region 5 - Central Valley,Unknown,Clear Lake,Detail,-122.847,39.094
Last verified >90 days ago,6/26/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",6/26/2023 9:18,4183,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Lake,Highland Creek,6/14/2023 0:00,,Region 5 - Central Valley,,Highland Creek,Detail,-122.93287,38.93275
Last verified >90 days ago,9/1/2023,Advisory based on visual and toxins; Under investigation,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.  This report is under investigation.,8/28/2023 11:13,4349,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Lassen,Indian Ole Rd west of town,8/27/2023 0:00,,Region 5 - Central Valley,Pacific Gas and Electric,Mountain meadows reservoir,Detail,-121.0245,40.28391
Last verified >90 days ago,9/1/2023,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,9/1/2023 17:52,4375,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Lassen,West End (South Shore),8/29/2023 0:00,Pacific Gas and Electric,Region 5 - Central Valley,Pacific Gas and Electric,Mountain Meadows Reservoir,Detail,-120.99068,40.27469
Last verified >90 days ago,6/30/2023,"No cyano, other algae present.",Water testing of samples indicated no harmful algal bloom produced by cyanobacteria was present. Other types of nuisance algae are present that are not known to produce toxins.,6/28/2023 9:13,4202,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Los Angeles,Jet Propulsion Laboratory NASA,6/28/2023 0:00,,Region 4 - Los Angeles,,Arroyo Seco,Detail,0,0
Last verified >90 days ago,11/3/2023,Under investigation,This report is under investigation.,9/29/2023 11:01,4394,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Los Angeles,mid pond near Hwy 10,9/21/2023 0:00,,Region 4 - Los Angeles,,Hollenbeck Park,Detail,-118.21818,34.04016
Last verified >90 days ago,8/31/2023,Marine bloom suspected (red tide),"Marine bloom or “red tide” are suspected in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. Until water monitoring results are provided to confirm presence of red tide in this area, we recommend people and pets avoid contact with the water during times of any water discoloration or dense blooms in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system.",8/28/2023 13:26,4351,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Los Angeles,Manhattan Beach Pier,8/28/2023 0:00,,Region 4 - Los Angeles,,Pacific Ocean,Detail,-118.41459,33.88325
Last verified >90 days ago,1/1/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",1/10/2023 17:12,3945,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,US Army Corps of Engineers,Madera,at the Raymond Bridge,1/1/2023 0:00,,Region 5 - Central Valley,,Chowchilla River,Detail,-119.94558,37.25978
Last verified >90 days ago,7/31/2023,Marine bloom suspected (red tide),"Marine bloom or “red tide” are suspected in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. Until water monitoring results are provided to confirm presence of red tide in this area, we recommend people and pets avoid contact with the water during times of any water discoloration or dense blooms in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system.",7/30/2023 17:57,4297,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Marin,Sausalito Yacht Harbor,7/30/2023 0:00,,Region 2 - San Francisco Bay,,Richardson Bay,Detail,-122.4829,37.85929
Last verified >90 days ago,5/24/2023,visual monitoring based advisory,Advisory is based on visual monitoring for indicators of harmful algal bloom and trigger public health posting of “caution” advisory level.,5/19/2023 12:38,4113,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Marin,Waldo Point Harbor at Issaquah dock,5/19/2023 0:00,,Region 2 - San Francisco Bay,California Department of Water Resources,Richardson Bay,Detail,-122.50242,37.87297
Last verified >90 days ago,8/1/2023,Marine bloom suspected (red tide),"Marine bloom or “red tide” are suspected in this area. Red tides appear reddish-brown color and can cause marine animal impacts, particularly for fish. Until water monitoring results are provided to confirm presence of red tide in this area, we recommend people and pets avoid contact with the water during times of any water discoloration or dense blooms in the water. People exposed to marine algae blooms via water contact may experience irritation of the eyes, skin, or respiratory system.",8/1/2023 15:54,4307,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Baykeeper,Marin,East side of Tiburon Peninsula,8/29/2023 0:00,,Region 2 - San Francisco Bay,,"San Francisco Bay, Central",Detail,-122.45587,37.89623
Last verified >90 days ago,6/27/2023,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,5/18/2023 13:30,4106,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,RWQCB2,Marin,Inkwells,5/8/2023 0:00,,Region 2 - San Francisco Bay,,San Geronimo Creek,Detail,-122.70878,38.00495
Last verified >90 days ago,6/23/2023,No cyano bloom w/testing; Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",5/25/2022 8:00,3382,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,"Mike Thomas, FHAB",Mendocino,South Boat Ramp,5/17/2022 0:00,County Environmental Health Department,Region 1 - North Coast,United States Army Corps of Engineers,Lake Mendocino,Detail,-123.18091,39.20491
Last verified >90 days ago,8/2/2023,Under investigation; Visual monitoring only-present bloom,This report is under investigation.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.,7/21/2023 17:00,4283,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Hubbard,Modoc,CA Pines Lodge,7/17/2023 0:00,,Region 5 - Central Valley,,Donovan Reservoir,Detail,-120.69318,41.40966
Last verified >90 days ago,8/25/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",8/25/2023 9:35,4343,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Modoc,Emerson Creek ~0.9mi below North Fork,8/16/2023 0:00,,Region 6 - Lahontan,,Emerson Creek,Detail,-120.13794,41.26426
Last verified >90 days ago,10/3/2023,Advisory based on visual and toxins,Advisory based on presence of harmful algal bloom and water testing that detected cyanotoxins.,10/3/2023 8:15,4395,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Mono,Adobe Creek above North Canyon Cr.,9/20/2023 0:00,,Region 6 - Lahontan,,Adobe Creek,Detail,-118.71525,37.89939
Last verified >90 days ago,9/1/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",9/1/2023 10:28,4369,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Mono,Koenig Lake Creek ~0.5mi above Leavitt Cr.,8/23/2023 0:00,,Region 6 - Lahontan,,Koenig Lake Creek,Detail,-119.61002,38.28506
Last verified >90 days ago,9/27/2023,Testing results below posting triggers; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples resulted in no exceedance of an advisory trigger threshold.",10/11/2023 9:47,4403,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Mono,Virginia Creek,9/27/2023 0:00,,Region 6 - Lahontan,,Virginia Creek,Detail,-119.22584,38.0658
Last verified >90 days ago,4/28/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",5/27/2022 9:34,3426,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Central Coast Regional Water Quality Control Board,Monterey,Lake San Antonio at Harris Creek Launch Dock,5/19/2022 0:00,,Region 3 - Central Coast,,Lake San Antonio,Detail,-120.93146,35.81264
Last verified >90 days ago,6/9/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/9/2023 9:49,4153,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Monterey,San Clemente Creek ~0.5mi above Robinson Cyn. Rd.,5/31/2023 0:00,,Region 5 - Central Valley,,San Clemente Creek,Detail,-121.79847,36.43082
Last verified >90 days ago,6/9/2023,No cyano bloom w/testing; Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.  Water testing of samples did not detect presence of harmful algal bloom produced by cyanobacteria.",6/9/2023 10:17,4154,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,California Department of Fish and Wildlife,Monterey,Santa Lucia Creek ~1mi above Arroyo Seco,6/1/2023 0:00,,Region 3 - Central Coast,,Santa Lucia Creek,Detail,-121.4822,36.2196
Last verified >90 days ago,9/8/2023,Bottom/benthic bloom observed,"Observations at this site include confirmation of harmful algal bloom that  forms potential toxic algal mats that grow attached to cobble, sand, and plants on the bottom of the waterway. The water can appear clear when algal mats are attached to the bottom. These mats can dislodge and float downstream or strand on the shoreline, children and dogs should avoid touching mat material.",9/8/2023 9:18,4380,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Nevada,Below Hwy 89 (636PS0246),8/30/2023 0:00,,Region 6 - Lahontan,,Little Truckee River,Detail,-120.23025,39.47402
Last verified >90 days ago,9/25/2023,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,9/25/2023 14:49,4390,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Nevada,Little Truckee River ~2.4mi below Worn Mill Cyn.,9/14/2023 0:00,,Region 6 - Lahontan,,Little Truckee River,Detail,-120.10046,39.44129
Last verified >90 days ago,9/8/2023,,,9/8/2023 9:25,4381,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Nevada,SF ~0.4mi above Crabtree Cyn. Cr. (635PS0242),8/30/2023 0:00,,Region 6 - Lahontan,,Prosser Creek,Detail,-120.26524,39.37588
Last verified >90 days ago,10/19/2023,Updates from routine monitoring program-organization,"Updates to this report are provided by a routine water monitoring program conducting site visits at this waterway, refer to Organization field above for more information.",6/30/2023 11:50,4215,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Nevada,Marina,6/19/2023 0:00,,Region 6 - Lahontan,,Prosser Creek Reservoir,Detail,-120.15726,39.3802
Last verified >90 days ago,9/25/2023,Testing results below posting triggers,Water testing of samples resulted in no exceedance of an advisory trigger threshold.,9/25/2023 14:52,4391,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,CALIFORNIA DEPARTMENT OF FISH AND WILDLIFE,Nevada,South Fork Yuba River (USFS),9/25/2023 0:00,,Region 5 - Central Valley,,South Fork Yuba River,Detail,-120.78846,39.3598
Last verified >90 days ago,11/20/2023,No cyano bloom w/photos,Visual observations of suspicious algae reported - Water Boards staff determined that no harmful algal bloom produced by cyanobacteria was present. Other types of nuisance algae were present.,11/3/2023 8:19,4415,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,Orange County Healthcare Agency - Environmental Health Division,Orange,"Outfall to Ocean, interface of San Juan Creek, between Lifeguard Towers 9 and 10",11/3/2023 0:00,City Department,Region 9 - San Diego,,San Juan Creek,Detail,-117.68333,33.46218
Last verified >90 days ago,11/3/2023,Under investigation,This report is under investigation.,11/2/2023 16:09,4414,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,City of Laguna Hills,Orange,Moulton Park and Ridge Route Drive,11/1/2023 0:00,,Region 8 - Santa Ana,Local Municipal Water District; Other,Veeh Reservoir,Detail,-117.72944,33.62185
Last verified >90 days ago,4/11/2023,Under investigation,This report is under investigation.,3/30/2023 10:51,4077,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Placer,Star Harbor,3/29/2023 0:00,,Region 6 - Lahontan,,Lake Tahoe,Detail,-120.12329,39.18136
Last verified >90 days ago,11/22/2023,Floating/planktonic bloom observed,"Observations at this site include confirmation of harmful algal bloom that forms floating/planktonic blooms. Children and dogs should avoid skin contact with bloom material that may appear as discolored water, milky water, with a surface sheen (like spilled paint), or scum.",11/6/2023 18:13,4416,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,"Mt. Hough Ranger District, Plumas National Forest",Plumas,Near the dam/spillway,11/1/2023 0:00,,Region 5 - Central Valley,Public entity,Round Valley Reservoir,Detail,-120.9625,40.11334
Last verified >90 days ago,8/1/2023,Under investigation; Visual monitoring only-present bloom,This report is under investigation.  Visual observation of harmful algal bloom from shoreline or boat. Water testing was not conducted to measure toxicity of bloom according to statewide guidelines. Contact the water or land manager listed above to request water testing due to the confirmed visible bloom.,7/28/2023 14:15,4292,Last verified >90 days ago,No new observations have been made of this bloom for more than 90 days. Contact waterbody manager for current conditions.,,Riverside,Causeway between backwater and Canyon Lake,7/21/2023 0:00,,Region 8 - Santa Ana,,Canyon Lake California,Detail,-117.26816,33.68284
